,Bed,Bath,Pet,Zip,Area,Price
332,1,1,0,10023,550,2114.986792232293
333,3,2,0,10314,1364,8562.917405541677
334,0,1,1,10019,530,3066.4379843618426
335,0,1,0,10023,560,2881.674933342065
336,2,1,0,10028,765,2428.546176372918
337,1,1,0,10016,558,2072.876981710191
338,2,2,1,10028,1000,7609.79422298001
339,3,3,0,10019,1870,15101.435165235554
340,0,1,1,10019,465,2708.1134337975273
341,3,1,0,10010,960,2993.11822611551
342,0,1,0,10011,472,2376.0321202394216
343,2,2,1,10011,1000,7749.374412728976
344,4,4,0,10002,3100,24743.047975464306
345,0,1,1,11201,399,2331.9602987444196
346,2,2,0,10016,1210,8511.736435819195
347,1,1,0,10012,575,1842.273957214824
348,1,1,1,11209,700,3234.559018266571
349,0,1,0,10016,495,2437.1390891092724
350,1,1,0,10023,604,2412.671803470339
351,2,2,0,10280,1284,8829.358561556208
352,2,1,0,10016,920,3356.9078069069583
353,2,1,0,11209,900,3295.9176954230024
354,2,2,1,11101,1468,10382.680072872528
355,2,1,0,10128,790,2496.573216330865
356,0,1,1,10016,461,2579.324900063366
357,2,2,0,10016,920,6913.057671763025
358,3,3,1,10023,2153,16970.615747372343
359,1,1,0,10022,710,2894.383962697362
360,1,2,0,10021,695,6306.264051176486
361,1,1,0,10021,678,2656.398534634369
362,1,1,0,10003,730,3041.585367849796
363,2,1,0,10009,880,3239.0328836375465
364,3,1,0,10009,1050,3464.6281133212597
365,0,1,0,10002,400,2036.5929677010126
366,2,2,1,10016,1154,8532.643168120754
367,1,1,1,11218,600,2432.867197328419
368,1,1,1,10019,666,3104.601910673453
369,1,1,0,10016,710,2910.8051614913584
370,1,1,0,10025,690,2804.656753323914
371,2,2,1,11101,909,7301.088938019424
372,0,1,1,10128,600,3201.9026802842054
373,2,2,1,11201,1135,8522.324038713585
374,1,1,0,10128,558,1929.1914922627275
375,0,1,0,10016,540,2685.2099318076434
376,1,1,0,10011,850,3748.2659117289422
377,0,1,0,10028,470,2225.426559703862
378,0,1,0,10023,460,2330.4063940123506
379,0,1,0,10016,540,2685.2099318076434
380,1,1,1,10018,761,3603.6752248456887
381,0,1,0,10021,560,2717.462945402107
382,3,2,1,11432,1747,11246.105707712122
383,0,1,1,10019,550,3176.691692227785
384,2,2,1,11377,928,7093.827183406147
385,0,1,1,10016,494,2761.2435180421717
386,1,1,0,11226,500,1605.3504397529941
387,3,2,1,10012,2500,14916.837744140495
388,2,2,0,10016,700,5700.266885237652
389,0,1,1,11249,430,2416.6422522681523
390,2,1,0,11102,950,3583.8678641833567
391,2,2,0,10016,701,5705.779570630948
392,3,1,0,10469,1500,5855.019946937999
393,2,2,1,11216,1008,7616.948008839898
394,5,2,1,10455,2646,14216.461243238296
395,3,2,1,10024,1700,10769.428610206709
396,4,2,1,10014,1359,7919.407722910146
397,1,1,0,10128,538,1818.937784396785
398,0,1,0,10003,620,3146.7512617639113
399,1,1,1,10034,750,3493.772089137432
400,2,1,1,10003,650,2218.626363535419
401,1,1,0,10022,710,2894.383962697362
402,5,2,0,11238,1100,5869.184373790082
403,2,2,1,10010,1530,10732.677166653948
404,1,1,0,10301,1100,5089.489562766739
405,2,1,1,11222,800,2988.0549767510065
406,1,1,0,10023,738,3151.371646172156
407,1,1,0,10005,995,4621.50068833001
408,3,1,0,11235,1400,5307.8567073067825
409,2,1,0,10023,750,2505.9625837149206
410,1,1,1,10282,810,3578.2152308253235
411,1,1,1,10018,724,3399.705865293694
412,0,1,0,10012,510,2195.510693827311
413,2,1,0,10003,1100,4369.7176761929395
414,2,1,0,10467,100,-1397.4962984111448
415,3,2,1,10019,1600,10386.477358515453
416,1,1,0,10022,620,2398.2422773006183
417,0,1,1,10024,650,3559.6429439190433
418,1,1,0,10024,650,2518.4645424160444
419,1,1,0,10012,700,2531.3596313769676
420,0,1,0,10002,402,2047.6183384876067
421,1,1,1,10001,686,3251.8033158258877
422,1,1,1,10075,785,3432.187496595897
423,1,1,0,10282,720,2752.4564311023823
424,1,1,0,10019,650,2686.7818300545023
425,1,1,0,10023,600,2390.62106189715
426,1,1,0,10016,680,2745.4245996924437
427,1,1,0,10010,589,2371.034519555871
428,0,1,0,10016,580,2905.7173475395302
429,2,2,0,10128,1113,7833.320463221909
430,1,1,1,10005,760,3655.6367352313773
431,0,1,0,10012,470,1975.0032780954252
432,1,1,1,11101,400,1650.5434951519092
433,2,1,0,10029,3995,20189.36170003922
434,2,1,0,10128,800,2551.700070263836
435,1,1,0,10022,700,2839.25710876439
436,2,1,0,10029,690,1969.936475192144
437,1,1,1,11213,600,2531.394390092394
438,3,3,0,10030,3200,21989.93437088287
439,1,1,0,10031,601,2121.078667491016
440,1,1,1,10463,850,4164.094319723617
441,0,1,0,10028,520,2501.06082936872
442,1,1,1,10019,604,2762.8154162890296
443,2,2,1,11218,900,6931.261392996828
444,3,2,1,10016,1200,8074.6654090356205
445,0,1,0,11432,477,2493.9121405728847
446,2,1,1,10458,650,2132.415069866941
447,4,2,0,10027,2400,13521.445188835733
448,0,1,1,10065,585,3123.317699083247
449,3,1,0,10016,960,2865.8539354620425
450,1,1,1,10016,865,4094.888511778613
451,2,2,1,11101,909,7301.088938019424
452,1,1,1,10029,500,1963.7046519686837
453,1,1,0,10010,600,2431.6740588821394
454,1,1,0,10009,690,2903.183946087889
455,3,2,0,10009,900,6193.875169182753
456,1,1,1,11238,800,3835.0911539782737
457,2,2,1,11201,1135,8522.324038713585
458,0,1,0,10005,560,2935.0438294225514
459,0,1,0,10016,580,2905.7173475395302
460,2,1,0,10011,1100,4414.875972876428
461,2,1,0,10027,1020,3780.912055583204
462,1,1,0,10005,710,3050.385351240323
463,1,1,1,10014,750,3140.716315066521
464,0,1,1,10011,575,3273.455830075225
465,6,6,0,10014,5900,45424.37186461696
466,0,1,0,10016,600,3015.9710554054727
467,0,1,0,10028,705,3520.907627128692
468,0,1,1,10001,520,3048.258827715362
469,1,1,1,10075,706,2996.685350525422
470,1,1,0,10013,504,1459.0838936877244
471,1,1,1,11415,800,3564.1413738773417
472,1,1,1,10014,501,1768.0576521355306
473,3,3,0,10013,2328,17203.399206420254
474,0,1,0,10018,398,1984.5145999294282
475,4,1,1,10029,900,2034.0949477571394
476,4,3,1,11213,2200,16329.30688754956
477,1,1,0,10021,690,2722.550759353935
478,1,1,1,10021,725,3245.111862445532
479,1,1,0,10024,710,2849.2256660138737
480,2,2,1,11249,1038,7901.382261895284
481,3,3,0,10023,2086,16271.648711695241
482,3,2,0,10016,1250,8020.682564374281
483,1,2,0,10023,822,7170.587084065184
484,5,5,1,10022,4473,35346.59052271778
485,1,1,0,10011,576,2237.790113965524
486,2,2,0,10007,1000,6996.911429457385
487,1,1,0,11233,920,3974.047201018283
488,3,1,0,11233,156,-1660.7670138143412
489,2,1,1,11216,680,2252.637334982366
490,3,2,0,10016,1250,8020.682564374281
491,2,2,0,10023,920,6999.268965431502
492,1,1,1,10280,710,3150.1056824505777
493,2,2,0,11694,1000,7157.018117698844
494,3,2,1,11212,1000,6803.811042737732
495,0,1,0,10021,565,2745.026372368592
496,0,1,0,10065,580,2766.1371577905647
497,0,1,0,10016,550,2740.3367857406156
498,2,2,1,10128,965,7347.06013934013
499,0,1,0,10014,580,2585.5039710566107
500,2,1,0,10029,920,3237.854115650488
501,0,1,0,10282,580,2692.241763217584
502,2,1,0,10003,920,3377.4343053994526
503,1,1,0,10016,750,3131.3125772232434
504,1,1,1,11222,700,3148.347724598093
505,2,3,1,10065,1900,16061.676146627527
506,1,1,1,11238,680,3173.568906782615
507,0,1,0,11373,544,2818.1037652403047
508,0,1,0,10023,500,2550.9138097442365
509,0,1,0,10010,541,2817.986907854409
510,1,1,1,10005,698,3313.850240846954
511,3,1,0,10009,911,2698.3648436529566
512,2,2,1,10018,1084,8228.861184559933
513,4,2,0,10301,2500,14228.715116708408
514,2,1,0,10128,750,2276.065800598978
515,1,1,0,10014,710,2590.591785008439
516,0,1,0,10022,518,2547.5096543611107
517,1,1,0,10003,630,2490.316828520081
518,1,1,1,10038,1082,5365.036636697076
519,3,2,1,10016,1200,8074.6654090356205
520,2,1,1,10009,750,2852.000896835114
521,1,1,0,10012,500,1428.8225527175382
522,1,1,0,10019,686,2885.238504213199
523,1,1,1,10036,900,4218.04240566953
524,1,1,0,10075,552,1818.1146856314645
525,3,1,0,10029,1250,4345.479008261745
526,3,3,1,11249,1765,14753.693120501572
527,1,1,0,10128,600,2160.7242787812083
528,2,1,1,10003,475,1253.906419708419
529,2,1,1,11210,950,3667.166996599616
530,1,1,0,10016,710,2910.8051614913584
531,4,4,0,10019,3703,28050.776068828487
532,3,1,0,10005,1200,4328.478619602322
533,1,1,1,11374,571,2638.3709940892095
534,3,1,0,10471,1220,3991.2546603318788
535,1,1,0,10021,569,2055.5158267649795
536,1,1,1,11249,690,3138.3791673486103
537,1,2,1,10014,1400,10280.111685565735
538,1,1,0,10462,700,2826.941209668894
539,3,2,1,10013,2017,12262.42129857497
540,2,2,0,10016,600,5148.998345907936
541,4,1,0,11379,1250,3527.17992892397
542,2,2,1,11231,1627,11185.301655833791
543,2,2,0,10003,1200,8477.136080378721
544,1,1,0,10001,750,3274.998066670707
545,0,1,0,10003,580,2926.2438460320245
546,3,1,0,11220,1100,3284.5741164527317
547,1,1,1,11222,636,2795.5358594270747
548,2,1,0,10005,910,3441.3611427229516
549,2,1,0,11378,1000,3424.340365807324
550,2,1,0,10014,695,1796.3402169321798
551,3,2,1,11432,1747,11246.105707712122
552,0,1,0,10012,550,2416.018109559198
553,2,1,0,10025,860,3030.251983007627
554,2,2,0,11432,5000,29560.815464958345
555,1,1,0,10028,771,3173.183575909503
556,2,1,0,11102,850,3032.5993248536415
557,4,4,1,10028,2303,20482.000445804726
558,1,1,1,11206,854,4165.618562804311
559,1,1,0,10022,715,2921.9473896638483
560,0,1,1,10001,386,2309.558985013544
561,2,2,0,10128,1600,10517.99824975762
562,0,1,0,10022,452,2183.6724184034993
563,2,1,0,10036,950,3452.49827383139
564,1,2,0,10014,1364,9752.03789708084
565,2,2,1,10128,1150,8366.906937100102
566,0,1,0,10016,2250,12111.901954345767
567,1,1,0,10023,600,2390.62106189715
568,2,1,1,10075,900,3354.5850296482677
569,1,1,0,10014,700,2535.4649310754667
570,5,2,0,10001,2500,13632.102221089575
571,1,1,0,11691,516,1919.344889463191
572,3,1,0,10022,890,2463.544759137246
573,2,1,0,10012,750,2095.432613865023
574,1,1,1,11201,630,2893.82933741926
575,3,1,0,11366,1600,6217.444700136763
576,3,2,0,10011,1560,9795.29983147238
577,1,1,1,10019,810,3898.428607308243
578,0,1,0,11432,365,1876.4913765236042
579,2,2,0,10011,800,6317.220219743351
580,1,1,0,10016,680,2745.4245996924437
581,2,1,0,10021,800,2617.38486543982
582,2,2,0,10007,1000,6996.911429457385
583,2,2,0,10019,1466,10029.72168866424
584,3,2,1,11249,1388,9119.260862372483
585,2,1,0,11214,900,2942.8619213520906
586,4,3,0,10013,3532,23129.111132773214
587,1,1,1,11415,800,3564.1413738773417
588,2,2,1,11217,920,7296.043682169708
589,3,2,0,10003,960,6442.530298810603
590,1,1,1,10023,974,4781.982513316481
591,3,2,0,11377,2186,12987.607006670962
592,1,1,0,10036,600,2234.619673354189
593,0,1,1,10007,557,2751.381624050482
594,1,1,1,10002,420,1764.9025027163516
595,2,1,0,10016,895,3219.0906720745297
596,2,2,1,10001,1783,12143.807769952124
597,1,1,0,10003,730,3041.585367849796
598,2,1,1,10007,762,2458.359555322795
599,2,1,0,10022,892,3186.1314171006416
600,1,1,0,10065,700,2716.0981178094216
601,0,1,0,10038,550,2814.2321803135974
602,2,2,1,10013,1819,11882.470877878935
603,1,2,1,11216,680,6520.348487015235
604,1,1,0,10025,710,2914.9104611898565
605,1,1,0,10028,600,2230.51437365569
606,0,1,0,10014,625,2833.5748137549817
607,3,3,1,10006,2309,17526.80249103778
608,3,1,1,10032,1100,3811.24561630688
609,1,1,1,10001,1130,5699.4356304498215
610,5,5,0,10013,8040,54381.03532829209
611,2,1,0,10016,890,3191.5272451080436
612,1,1,0,10005,720,3105.512205173294
613,1,1,0,10032,600,2148.4083796857103
614,2,2,1,10028,840,6727.764560052467
615,3,1,0,10028,1150,3839.368765615519
616,4,2,0,10013,3157,17505.704245430723
617,1,1,1,10001,956,4740.228372016118
618,1,1,0,10452,448,1425.4285914625161
619,2,2,0,11355,1100,8040.815932606976
620,0,1,0,10016,575,2878.153920573044
621,2,1,0,10016,600,1592.8484810518703
622,3,3,0,10016,1775,14470.992260711348
623,2,1,0,10036,970,3562.7519816973327
624,0,1,1,11211,442,2589.532269148691
625,2,2,0,10280,1090,7759.8975952565615
626,0,1,1,10463,340,2064.186056318873
627,2,1,1,11102,1100,4740.387787504127
628,2,2,1,10003,1300,9358.021734034632
629,0,1,0,10065,480,2214.8686184608505
630,2,1,1,11370,850,2869.5804753599623
631,1,1,0,10128,648,2425.3331776594714
632,2,2,0,10019,920,7019.795463923998
633,3,2,0,10025,1550,9678.593482061926
634,0,1,0,10024,250,1024.9516722739863
635,0,1,0,11355,544,2842.735563431299
636,2,1,0,11228,1000,3485.9198612848077
637,1,1,0,10022,845,3638.596490792477
638,2,3,1,10013,2400,18641.490956240646
639,3,1,1,11226,1500,6024.530373022735
640,4,4,1,10017,3814,28557.13949376978
641,3,3,1,10022,2450,18505.250816719126
