,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
159,"1,850 ",1,1,675,No,"1065-1081 Jerome Ave,                  ",Bronx,NY,10452
160,"1,699",1,1,552,No,"1981 Sedgwick Ave,                  ",Bronx,NY,10453
164,"3,995",1,1,595,No,"160 W 22nd St,                  ",New York,NY,10011
165,"1,450 ",0,1,71,No,"18-67 Cornelia St,                  ",Flushing,NY,11385
166,"4,458 ",2,2,"1,000",Yes,"488 Seventh Ave,                  ",New York,NY,10018
167,"3,400",0,1,400,No,"255 E Houston St,                  ",New York,NY,10002
169,"1,775 ",1,1,750,No,"4861-4881 Broadway,                  ",New York,NY,10034
170,"7,435 ",3,1,651,No,"15 E 11th St,                  ",New York,NY,10003
173,"4,050",1,1,630,Yes,"235 W 56th St,                  ",New York,NY,10019
174,"2,607",0,1,423,Yes,"888 Main St,                  ",New York,NY,10044
175,"2,524",0,1,300,Yes,"280 Ashland Pl,                  ",Brooklyn,NY,11217
176,"1,650",2,1,"1,000",Yes,"9202-9280 Holland Ave,                  ",Rockaway Beach,NY,11693
177,"3,479",0,1,464,Yes,"189 W 89th St,                  ",New York,NY,10024
181,"1,625",0,1,340,Yes,"3470 Fort Independence St,                  ",Bronx,NY,10463
183,"2,100 ",3,1,775,No,"2559 Decatur Ave,                  ",Bronx,NY,10458
184,"2,888",0,1,650,Yes,"235 W 48th St,                  ",New York,NY,10036
185,"2,100",0,1,535,No,"501 1/2 E 83rd St,                  ",New York,NY,10028
187,"2,150 ",1,1,402,No,"430-434 E 72nd St,                  ",New York,NY,10021
188,"1,375 ",0,1,554,No,"937 Victory Blvd,                  ",Staten Island,NY,10301
189,"4,249 ",1,1,596,Yes,"210 W 70th St,                  ",New York,NY,10023
190,"2,200 ",1,1,675,No,"14-56 31st Dr,                  ",Astoria,NY,11106
194,"8,800 ",3,2,"2,800",Yes,"220 E 86th St,                  ",New York,NY,10028
195,"1,375",0,1,560,No,"2165 Bolton St,                  ",Bronx,NY,10462
200,"1,700 ",1,1,708,No,"3-75 Darcey Ave,                  ",Staten Island,NY,10314
201,"2,800 ",3,1,"1,400",No,"6342 Fitchett St,                  ",Rego Park,NY,11374
202,"6,950 ",2,2,"1,174",Yes,"200 Rector Pl Apt 24E,                  ",New York,NY,10280
203,"3,800 ",1,1,770,No,"235 E 40th St Apt 20B,                  ",New York,NY,10016
204,"1,300 ",1,1,516,No,"12-17 Norton Drive 12-17 Norton Dr Fl 3,                  ",Far Rockaway,NY,11691
206,"1,700 ",1,1,"1,000",No,"2313 Pacific St Unit B,                  ",Brooklyn,NY,11233
207,"2,399 ",2,1,850,Yes,"1471 Bushwick Ave,                  ",Brooklyn,NY,11207
208,"2,300 ",2,1,900,No,"1498 Pacific St,                  ",Brooklyn,NY,11213
209,"3,695 ",3,2,850,Yes,"149 4th Ave,                  ",Brooklyn,NY,11217
210,"2,749 ",3,2,850,Yes,"1399 Greene Ave,                  ",Brooklyn,NY,11237
212,"3,250 ",2,2,"1,750",No,"325 Hancock St # 1,                  ",Brooklyn,NY,11216
233,"1,999 ",1,1,700,Yes,"281 Crown St,                  ",Crown Heights,NY,11225
234,"4,000 ",4,1,900,Yes,"235 E 115th St,                  ",New York,NY,10029
235,"1,050 ",3,1,156,No,"1909 Bergen St,                  ",Brooklyn,NY,11233
236,"3,995 ",0,1,600,No,"350 W 57th St,                  ",New York,NY,10019
