,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
1151,"4,254 ",2,2,901,Yes,"43-25 Hunter St Unit 3112W,                  ",Queens,NY,11101
1155,"3,395 ",0,1,530,Yes,"150 W 56th St Unit 39111,                  ",Manhattan,NY,10019
1157,"5,795 ",3,2,"1,400",No,"353 E 83rd St Apt 22H,                  ",Manhattan,NY,10028
1158,"3,295 ",1,1,500,No,"501 W 110th St Apt 10G,                  ",New York,NY,10025
1160,"3,795 ",3,2,"1,440",No,"779 Riverside Dr Apt A50,                  ",Manhattan,NY,10032
1163,"5,333 ",2,2,840,Yes,"305 E 86th St Unit 18JE,                  ",Manhattan,NY,10028
1166,"14,800 ",3,2,"2,500",Yes,"452 Broome St Unit 3W,                  ",New York,NY,10013
1169,"5,300 ",3,2,"1,100",Yes,"825 W End Ave Unit 5F,                  ",New York,NY,10025
1171,"7,425 ",1,2,"1,095",No,"666 Greenwich St Apt 503,                  ",New York,NY,10014
1172,"12,000 ",3,2,"1,359",Yes,"530 Park Ave Apt 2H,                  ",New York,NY,10065
1175,"7,500 ",2,2,"1,113",No,"389 E 89th St Apt 29D,                  ",New York,NY,10128
1177,"5,400 ",1,1,754,Yes,"200 Chambers St Apt 14F,                  ",Manhattan,NY,10007
1181,"2,500 ",3,1,900,No,"440 63rd St Unit 3,                  ",Brooklyn,NY,11220
1182,"2,300 ",3,1,900,No,"440 63rd St Unit 2,                  ",Brooklyn,NY,11220
1189,"4,300 ",4,2,"1,000",No,"212 Starr St Apt 2R,                  ",Brooklyn,NY,11237
1197,"3,500 ",4,1,"1,200",No,"542 Kosciuszko St Apt 3R,                  ",Brooklyn,NY,11221
1201,"3,095 ",3,1,"1,110",Yes,"1370 Saint Nicholas Ave Apt 5J,                  ",New York,NY,10033
1204,"3,995 ",4,1,"1,200",No,"897 St Johns Pl Unit 2L,                  ",Brooklyn,NY,11216
1205,"1,994 ",1,1,900,Yes,"247 W 131st St Apt 3,                  ",New York,NY,10027
1236,"2,850 ",1,1,610,No,"58 W 56th St Unit 40,                  ",New York,NY,10019
1237,"9,000 ",5,2,"1,350",Yes,"350 3rd Ave Apt 1A,                  ",New York,NY,10010
1238,"2,495 ",1,1,508,No,"148 W 68th St Apt 1F,                  ",New York,NY,10023
1239,"3,749 ",1,2,800,No,"167 E 90th St Apt 5A,                  ",New York,NY,10128
1241,"2,850 ",1,1,608,No,"301 E 38th St Apt 4E,                  ",New York,NY,10016
1243,"4,295 ",2,2,"1,250",No,"235 E 46th St Apt 3K,                  ",New York,NY,10017
1244,"3,195 ",2,1,750,No,"210 E 83rd St Apt 1C,                  ",New York,NY,10028
1246,"6,500 ",3,2,"1,550",No,"70 W 95th St Apt 2D,                  ",New York,NY,10025
1247,"4,500 ",2,1,"1,168",No,"400 E 89th St Unit 4X,                  ",New York,NY,10128
1248,"2,995 ",2,1,740,No,"419 W 47th St Unit 62,                  ",New York,NY,10036
1249,"2,900 ",0,1,650,No,"15 E 94th St Apt 3A,                  ",New York,NY,10128
1250,"29,795 ",4,4,"2,261",No,"456 Washington St Unit 290808B,                  ",New York,NY,10013
1253,"5,050 ",1,1,900,Yes,"55 W 14th St Unit B,                  ",New York,NY,10011
1254,"3,450 ",1,1,750,Yes,"48 E 66th St Apt 3R,                  ",New York,NY,10065
1255,"5,995 ",3,2,"1,200",Yes,"184 Lexington Ave Unit 8BBB,                  ",New York,NY,10016
1256,"2,575 ",1,1,575,No,"24 Clinton St Unit 19,                  ",New York,NY,10002
1257,"3,550 ",1,1,800,No,"320 E 54th St Apt 6E,                  ",New York,NY,10022
1258,"2,300 ",0,1,495,No,"146 W 17th St Apt 4D,                  ",New York,NY,10011
1259,"2,500 ",0,1,404,No,"59 W 8th St Apt 4A,                  ",New York,NY,10011
1260,"3,300 ",2,1,748,No,"17 Saint Marks Pl Apt 12,                  ",New York,NY,10003
1262,"4,295 ",1,1,850,Yes,"50 E 78th St Apt 5D,                  ",New York,NY,10075
1266,"5,000 ",2,3,"1,106",Yes,"717 Madison Ave Apt 5B,                  ",New York,NY,10065
1267,"2,245 ",0,1,498,Yes,"461 W 44th St Apt 4C,                  ",New York,NY,10036
1268,"4,995 ",2,2,"1,018",No,"225 E 70th St Apt 5E,                  ",New York,NY,10021
1269,"3,995 ",1,1,750,No,"201 E 12th St Apt 210,                  ",New York,NY,10003
1271,"4,600 ",3,1,911,No,"159 Second Ave Unit 0,                  ",New York,NY,10009
1272,"6,250 ",4,2,"1,345",No,"313 E 93rd St Apt 1C,                  ",New York,NY,10128
1273,"4,195 ",1,1,800,No,"201 E 12th St Apt 208,                  ",New York,NY,10003
1274,"3,077 ",2,1,800,No,"135 E 50th St Apt 5H,                  ",New York,NY,10022
1275,"5,000 ",2,1,"1,100",No,"201 E 12th St Apt 513,                  ",New York,NY,10003
1276,"3,200 ",1,1,785,Yes,"240 E 78th St Apt H,                  ",New York,NY,10075
1278,"2,300 ",0,1,500,No,"117 E 37th St Apt 4B,                  ",New York,NY,10016
1283,"4,650 ",1,1,700,Yes,"25 E 10th St Unit 68F,                  ",New York,NY,10003
1284,"8,150 ",3,2,"1,400",Yes,"247 W 87th St Unit 888A,                  ",New York,NY,10024
1285,"7,500 ",2,2,"1,200",Yes,"134 E 61st St Unit 7,                  ",New York,NY,10065
1286,"4,300 ",3,2,"1,098",No,"150 E 91st St Apt 32,                  ",New York,NY,10128
1287,"3,100 ",2,1,868,No,"230 E 87th St Apt 5A,                  ",New York,NY,10128
1288,"2,400 ",1,1,565,No,"337 E 21st St Unit 3R,                  ",New York,NY,10010
1289,"3,495 ",1,1,612,No,"105 Sullivan St Apt 5B,                  ",New York,NY,10012
1290,"6,000 ",1,1,"1,000",Yes,"145 Fourth Ave Unit 992A,                  ",New York,NY,10003
1294,"11,500 ",2,2,"1,474",Yes,"70 Charlton St Apt 12F,                  ",Manhattan,NY,10014
1298,"5,995 ",2,2,"1,000",Yes,"121 E 23rd St Apt 12A,                  ",New York,NY,10010
1302,"14,000 ",4,2,"4,100",No,"117 E 24th St Unit 9,                  ",Manhattan,NY,10010
1309,"3,850 ",2,2,"1,061",No,"29 Montrose Ave Apt 5B,                  ",New York,NY,11206
1310,"6,500 ",1,1,917,Yes,"225 Fifth Ave Unit 8N,                  ",New York,NY,10010
1311,"4,800 ",2,2,"1,058",Yes,"415 Leonard St Apt 2A,                  ",Brooklyn,NY,11222
1318,"7,000 ",2,2,"1,075",Yes,"200 E 87th St Apt 15M,                  ",New York,NY,10128
1322,"2,650 ",3,1,"1,100",No,"443 55th St Apt 2,                  ",Brooklyn,NY,11220
1324,"12,746 ",3,3,"1,877",Yes,"160 Riverside Blvd Apt 35A,                  ",New York,NY,10069
1325,"6,845 ",2,2,"1,075",Yes,"450 W 42nd St Apt 41D,                  ",New York,NY,10036
1327,"4,950 ",2,1,950,Yes,"57 W 58th St Apt 9C,                  ",New York,NY,10019
1330,"9,000 ",2,2,"1,324",Yes,"124 W 23rd St Apt 9A,                  ",Manhattan,NY,10011
1331,"2,500 ",3,2,"1,375",No,"58-15 182 St Unit 1F,                  ",Flushing,NY,11365
1338,"3,345 ",1,1,800,No,"353 E 83rd St Unit 4BB,                  ",Manhattan,NY,10028
1339,"2,175 ",0,1,500,Yes,"151 E 90th St Apt 2D,                  ",New York,NY,10128
1341,"3,500 ",2,1,850,No,"220 W 72nd St Apt 2R,                  ",New York,NY,10023
1342,"4,192 ",3,1,"1,100",No,"201 W 105th St Apt 62,                  ",New York,NY,10025
1345,"6,400 ",1,1,715,Yes,"140 Charles St Apt 18D,                  ",New York,NY,10014
1347,"16,000 ",3,2,"2,017",Yes,"129 Lafayette St Apt 9C,                  ",New York,NY,10013
1348,"6,000 ",2,2,"1,206",Yes,"15 Park Row Apt 19L,                  ",Manhattan,NY,10038
1349,"2,750 ",0,1,361,Yes,"15 Park Row Unit 03F1,                  ",Manhattan,NY,10038
1350,"6,229 ",2,1,"1,400",Yes,"222 W 83rd St Apt 11C,                  ",New York,NY,10024
1352,"2,000 ",1,1,730,No,"65-17 242nd St Unit 7E,                  ",Little Neck,NY,11362
1354,"2,300 ",2,2,850,Yes,"180-16 Wexford Ter Unit 3B,                  ",Queens,NY,11432
1356,"3,600 ",1,1,550,No,"150 W 51st St Apt 1910,                  ",Manhattan,NY,10019
1358,"4,035 ",1,1,645,Yes,"325 Lexington Ave Apt 15E,                  ",Manhattan,NY,10016
1362,"2,795 ",0,1,440,Yes,"230 W 55th St Apt 18H,                  ",New York,NY,10019
1364,"3,700 ",1,1,706,Yes,"345 E 80th St Apt 31G,                  ",New York,NY,10075
1365,"3,950 ",3,2,"1,800",No,"464 Marion St Unit 2,                  ",Brooklyn,NY,11233
1366,"7,295 ",0,2,"1,240",No,"666 Greenwich St Apt 722,                  ",New York,NY,10014
1371,"3,773 ",1,1,763,Yes,"440 E 20th St Unit 01E,                  ",Manhattan,NY,10009
1372,"3,542 ",1,1,770,Yes,"287 Avenue C Apt 4B,                  ",Manhattan,NY,10009
1373,"3,915 ",1,1,944,Yes,"6 Peter Cooper Rd Unit 06E,                  ",Manhattan,NY,10010
1377,"9,800 ",4,4,"2,400",No,"557 Third Ave Unit 3A,                  ",New York,NY,10016
1378,"9,000 ",2,2,"1,490",No,"146 W 57th St Apt 75C,                  ",New York,NY,10019
1380,"2,100 ",3,2,"1,134",No,"106-35 Union Hall St,                  ",Jamaica,NY,11433
1385,"6,995 ",2,2,"1,150",Yes,"300 E 85th St Apt 2603,                  ",New York,NY,10028
1386,"5,265 ",2,2,"1,078",Yes,"1600 Broadway Apt 8G,                  ",New York,NY,10019
1387,"1,950 ",0,1,250,No,"315 W 77th St Apt 2A,                  ",New York,NY,10024
1389,"2,750 ",0,1,500,No,"150 W 51st St Apt 2003,                  ",New York,NY,10019
1392,"2,350 ",3,1,900,No,"95 Legion St Unit 3A,                  ",Brooklyn,NY,11212
1394,"6,000 ",1,1,729,Yes,"210 Lafayette St Apt 4C,                  ",New York,NY,10012
1401,"2,990 ",3,1,950,Yes,"492 Gates Ave Apt 5F,                  ",Brooklyn,NY,11216
1404,"1,695 ",1,1,600,No,"138 Haven Ave Unit 16A,                  ",New York,NY,10032
1413,"2,495 ",1,1,600,Yes,"320 W 106th St Unit 3Z,                  ",New York,NY,10025
1416,"5,500 ",1,2,822,No,"150 Columbus Ave Apt 9E,                  ",New York,NY,10023
1417,"2,849 ",3,1,900,No,"751 Dekalb Ave Apt 4R,                  ",Brooklyn,NY,11216
1418,"3,300 ",1,1,870,Yes,"2300 Frederick Douglass Blvd Unit 8A,                  ",New York,NY,10027
1445,"2,595 ",1,1,450,No,"236 E 13th St Apt 26,                  ",New York,NY,10003
1446,"3,300 ",2,1,946,No,"441 W 51st St Apt 5R,                  ",New York,NY,10019
1447,"3,000 ",1,1,688,No,"320 E 54th St Apt 8B,                  ",New York,NY,10022
1448,"2,400 ",1,1,558,No,"312 E 91st St Apt 2W,                  ",New York,NY,10128
1449,"3,795 ",1,1,785,No,"80 Park Ave Apt 20K,                  ",New York,NY,10016
1450,"1,875 ",0,1,398,No,"407 W 39th St Apt 4C,                  ",New York,NY,10018
1451,"2,200 ",0,1,472,No,"299 Tenth Ave Unit 5C,                  ",New York,NY,10011
1452,"8,769 ",3,3,"1,425",Yes,"21 W 86th St Unit B,                  ",New York,NY,10024
1455,"1,875 ",0,1,398,No,"407 W 39th St Apt 4C,                  ",New York,NY,10018
1456,"2,200 ",0,1,472,No,"299 Tenth Ave Unit 5C,                  ",New York,NY,10011
1457,"4,295 ",1,1,820,Yes,"251 E 32nd St Unit 8C,                  ",New York,NY,10016
1461,"11,500 ",3,3,"1,868",No,"405 E 56th St Ph B,                  ",New York,NY,10022
1464,"3,000 ",1,1,700,No,"310 W 80th St Apt 3D,                  ",New York,NY,10024
1466,"2,695 ",0,1,478,No,"161 W 16th St Apt 17A,                  ",New York,NY,10011
1467,"4,400 ",1,1,697,No,"25 E 10th St Apt 4E,                  ",New York,NY,10003
1468,"4,500 ",1,2,"1,050",Yes,"513 E 82nd St Apt 1C,                  ",New York,NY,10028
1470,"3,450 ",2,1,900,No,"440 E 78th St Unit EE1,                  ",New York,NY,10075
1472,"4,800 ",1,1,825,Yes,"155 Prince St Unit Ii,                  ",New York,NY,10012
1473,"3,825 ",1,1,800,No,"115 E 92nd St Unit 3B,                  ",New York,NY,10128
1474,"2,300 ",0,1,498,No,"203 E 25th St Unit Middle,                  ",New York,NY,10016
1475,"2,400 ",0,1,470,No,"165 E 35th St Unit 7K,                  ",New York,NY,10016
1476,"3,600 ",2,1,750,No,"101 W 75th St Apt 2C,                  ",New York,NY,10023
1478,"2,500 ",1,1,685,No,"216 E 90th St Unit 1WR,                  ",New York,NY,10128
1479,"3,450 ",2,1,940,No,"250 Third Ave Unit 7,                  ",New York,NY,10010
1481,"3,875 ",3,1,"1,100",No,"1309 5th Ave Apt 21B,                  ",New York,NY,10029
1482,"3,495 ",2,2,920,No,"1382 2nd Ave Unit 2N,                  ",New York,NY,10021
1483,"3,995 ",1,1,750,Yes,"62 Leroy St Unit C3,                  ",New York,NY,10014
1484,"2,300 ",1,1,568,No,"336 E 5th St Apt 5RW,                  ",New York,NY,10003
1485,"1,995 ",1,1,475,No,"417 W 56th St Unit E2,                  ",New York,NY,10019
1486,"6,700 ",0,2,"1,100",No,"552 Broome St,                  ",New York,NY,10013
1488,"2,606 ",2,1,818,No,"415 E 73rd St Apt 3A,                  ",New York,NY,10021
1489,"3,150 ",2,1,774,No,"200 W 85th St Unit 11A,                  ",New York,NY,10024
1490,"7,400 ",4,3,"1,500",Yes,"200 W 58th St Apt 4B,                  ",New York,NY,10019
1493,"11,500 ",2,2,"2,568",No,"496 Broome St Unit 4,                  ",New York,NY,10013
1495,"2,650 ",0,1,534,No,"284 Fifth Ave Unit 5C,                  ",New York,NY,10001
1496,"5,200 ",3,1,"1,589",No,"99 Second Ave Unit 3A,                  ",New York,NY,10003
1498,"4,800 ",1,1,"1,200",No,"40 W 73rd St Unit Bs,                  ",New York,NY,10023
1499,"3,395 ",1,1,654,No,"229 First Ave Unit 1A,                  ",New York,NY,10003
1500,"2,350 ",1,1,650,No,"177 Bleecker St Apt 7,                  ",New York,NY,10012
1501,"9,950 ",2,1,"1,600",No,"190 W 8th St,                  ",New York,NY,10012
1502,"2,650 ",0,1,534,No,"284 Fifth Ave Unit 5C,                  ",New York,NY,10001
1503,"5,200 ",3,1,"1,589",No,"99 Second Ave Unit 3A,                  ",New York,NY,10003
1505,"4,800 ",1,1,"1,200",No,"40 W 73rd St Unit Bs,                  ",New York,NY,10023
1506,"13,754 ",3,3,"1,725",Yes,"200 N End Ave Unit 78882B,                  ",New York,NY,10282
1507,"3,300 ",2,1,775,No,"350 E 30th St Unit 6CZ,                  ",New York,NY,10016
1508,"5,700 ",1,1,768,No,"20 Fifth Ave Unit 4H,                  ",New York,NY,10012
1509,"2,600 ",1,1,500,No,"174 Thompson St Unit 3C,                  ",New York,NY,10012
1510,"3,100 ",1,1,638,No,"212 Lafayette St Apt 1B,                  ",New York,NY,10012
1516,"2,995 ",0,1,550,No,"317 W 13th St Unit 4G,                  ",New York,NY,10014
1517,"3,695 ",3,1,990,No,"1382 2nd Ave Unit 4S,                  ",New York,NY,10021
1518,"4,100 ",1,1,"1,000",Yes,"1053 Lexington Ave Unit 2FL,                  ",New York,NY,10021
1519,"2,700 ",0,1,510,No,"151 Mott St Apt 35,                  ",New York,NY,10013
1520,"4,195 ",2,1,"1,000",Yes,"250 E 63rd St,                  ",New York,NY,10065
1521,"2,525 ",0,1,498,No,"202 Sixth Ave Unit 4E,                  ",New York,NY,10012
1522,"6,450 ",4,2,"1,600",Yes,"303 E 43rd St Apt 3B,                  ",New York,NY,10017
1524,"2,850 ",0,1,585,Yes,"120 E 62nd St Apt 5B,                  ",New York,NY,10065
1528,"2,245 ",0,1,535,Yes,"756 Myrtle Ave Unit 2GG,                  ",New York,NY,11206
1529,"4,200 ",1,1,892,Yes,"110 E 87th St Apt 3C,                  ",New York,NY,10128
1530,"2,300 ",2,2,"2,200",No,"1230 Mace Ave,                  ",Bronx,NY,10469
1536,"4,200 ",1,1,717,Yes,"300 E 23rd St Apt 10H,                  ",New York,NY,10010
1537,"7,995 ",2,2,"1,706",Yes,"50 Bridge St Apt 610,                  ",New York,NY,11201
1539,"3,990 ",1,1,876,No,"372 Central Park W Apt 17J,                  ",Manhattan,NY,10025
1545,"3,895 ",2,2,"1,064",Yes,"106 W 116th St Apt 5A,                  ",New York,NY,10026
1546,"3,740 ",1,1,873,Yes,"355 S End Ave Apt 3D,                  ",New York,NY,10280
1547,"5,115 ",2,2,"1,084",Yes,"455 W 37th St Apt 517,                  ",New York,NY,10018
1548,"4,467 ",1,1,657,Yes,"247 N 7th St Unit 2415,                  ",Brooklyn,NY,11211
1549,"3,900 ",0,1,500,Yes,"130 W 15th St Apt 10M,                  ",New York,NY,10011
1550,"5,500 ",2,2,"1,090",No,"365 S End Ave Apt 2G,                  ",New York,NY,10280
1551,"5,550 ",2,2,952,Yes,"345 S End Ave Apt 7J,                  ",New York,NY,10280
1552,"1,650 ",1,1,700,Yes,"545 85th St Unit 18,                  ",Brooklyn,NY,11209
1555,"5,170 ",1,1,740,Yes,"180 W 20th St Apt 8U,                  ",New York,NY,10011
1556,"17,250 ",3,4,"1,973",Yes,"205 E 92nd St Apt 32C,                  ",New York,NY,10128
1557,"2,000 ",2,1,"2,120",No,"1843 Tomlinson Ave,                  ",Bronx,NY,10461
1558,"3,980 ",2,1,841,Yes,"74 W 85th St Apt 5,                  ",New York,NY,10024
1560,"3,300 ",1,1,696,No,"455 E 86th St Apt 4B,                  ",Manhattan,NY,10028
1563,"3,695 ",3,2,950,Yes,"149 4th Ave Unit F,                  ",Brooklyn,NY,11217
1566,"7,507 ",2,2,"1,085",No,"401 E 34th St Apt N18H,                  ",New York,NY,10016
1580,"3,900 ",1,1,805,Yes,"166 E 63rd St Apt 4E,                  ",New York,NY,10065
1585,"5,300 ",4,2,"1,200",No,"103 W 27th St Unit 3,                  ",Manhattan,NY,10001
1587,"2,300 ",2,1,"1,000",No,"69-30 52nd Dr,                  ",Maspeth,NY,11378
1588,"3,850 ",2,1,"1,100",No,"633 Halsey St Apt 1,                  ",Brooklyn,NY,11233
1590,"3,000 ",1,1,524,Yes,"1790 Third Ave Unit 1001,                  ",New York,NY,10029
1591,"27,000 ",4,4,"3,348",Yes,"50 Riverside Blvd Apt 28B,                  ",New York,NY,10069
1592,"2,950 ",2,1,849,Yes,"29 W 138th St Unit 6B,                  ",New York,NY,10030
1599,"2,295 ",0,1,600,Yes,"313 E 14th St Apt 2C,                  ",New York,NY,10003
1609,"3,995 ",1,1,748,Yes,"310 1st Ave Unit 08F,                  ",Manhattan,NY,10009
1610,"2,900 ",0,1,625,Yes,"160 W End Ave Apt 17A,                  ",New York,NY,10023
1612,"4,300 ",1,1,775,Yes,"80 Riverside Blvd Apt 6T,                  ",Manhattan,NY,10069
1614,"4,950 ",1,1,603,Yes,"21 E 1st St Apt 1001,                  ",New York,NY,10003
1616,"3,995 ",1,1,635,Yes,"310 W 52nd St Apt 12D,                  ",New York,NY,10019
1617,"7,700 ",3,2,"1,600",No,"245 E 63rd St Apt 28B,                  ",New York,NY,10065
1618,"3,446 ",1,1,564,Yes,"228 W 71st St Apt 8I,                  ",New York,NY,10023
1619,"9,250 ",2,2,"1,611",No,"25 Central Park W Apt 6R,                  ",Manhattan,NY,10023
1634,"5,800 ",1,1,661,No,"1 Irving Pl Apt U21E,                  ",New York,NY,10003
1642,"1,950 ",1,1,850,No,"270 Clarkson Ave Apt 724,                  ",Brooklyn,NY,11226
1652,"3,400 ",4,1,"1,100",No,"1092 Nostrand Ave Unit 3R,                  ",Brooklyn,NY,11225
1656,"2,950 ",2,1,"1,000",No,"1668 10th Ave Unit 2,                  ",Brooklyn,NY,11215
1657,"3,421 ",2,1,650,Yes,"339 E 12th St Apt 28,                  ",New York,NY,10003
1697,"4,525 ",2,1,920,No,"229 E 12th St Apt 65,                  ",New York,NY,10003
1700,"2,700 ",1,1,650,Yes,"243 E 38th St Apt 3C,                  ",New York,NY,10016
1701,"3,950 ",3,1,911,No,"129 E 97th St Apt 4A,                  ",New York,NY,10029
1702,"2,895 ",0,1,600,Yes,"40 E 12th St Apt 2B,                  ",New York,NY,10003
1703,"2,400 ",1,1,468,No,"214 First Ave Unit 7,                  ",New York,NY,10003
1704,"2,995 ",1,1,700,No,"240 W 15th St Unit 2Z,                  ",New York,NY,10011
1705,"3,995 ",1,1,824,No,"1 Astor Pl Apt 6L,                  ",New York,NY,10003
1706,"2,650 ",1,1,550,No,"28 W 75th St Unit 5L,                  ",New York,NY,10023
1709,"2,250 ",1,1,534,No,"1435 First Ave Unit 3FN,                  ",New York,NY,10028
1710,"5,000 ",3,1,950,Yes,"401 W 24th St Apt 5,                  ",New York,NY,10011
1712,"2,600 ",1,1,701,No,"348 E 87th St Unit 1DUPL,                  ",New York,NY,10028
1714,"6,095 ",2,2,"1,300",Yes,"150 E 18th St Apt 11M,                  ",New York,NY,10003
1715,"2,275 ",1,1,522,No,"265 E 78th St Apt 4E,                  ",New York,NY,10075
1716,"3,495 ",1,1,580,No,"169 W 81st St Unit E,                  ",New York,NY,10024
1717,"4,200 ",2,1,950,No,"78 W 11th St Apt 21,                  ",New York,NY,10011
1718,"2,775 ",0,1,675,No,"8 Jones St Apt 1A,                  ",New York,NY,10014
1721,"20,550 ",3,3,"1,400",No,"210 E 65th St Unit 10HI,                  ",New York,NY,10065
1722,"5,995 ",2,2,"1,133",Yes,"201 E 87th St Apt 18P,                  ",New York,NY,10128
1723,"2,885 ",2,1,765,No,"405 E 77th St Unit 3W,                  ",New York,NY,10028
1724,"9,150 ",2,2,"1,197",Yes,"30 W 63rd St Apt 26N,                  ",New York,NY,10023
1725,"3,200 ",1,1,700,Yes,"51 E 74th St Unit RR5,                  ",New York,NY,10021
1726,"2,500 ",1,1,620,No,"234 E 58th St Apt 11,                  ",New York,NY,10022
1729,"6,195 ",3,2,"1,150",No,"1675 York Ave Unit 1K,                  ",New York,NY,10128
1730,"3,850 ",3,1,911,No,"411 E 70th St Apt 2D,                  ",New York,NY,10021
1732,"2,450 ",1,1,650,No,"350 E 76th St Apt 3B,                  ",New York,NY,10021
1733,"2,375 ",0,1,550,No,"117 E 37th St Apt 2F,                  ",New York,NY,10016
1734,"8,995 ",3,3,"1,500",Yes,"101 W 67th St Unit 35D,                  ",New York,NY,10023
1735,"3,950 ",2,1,"1,000",Yes,"214 W 21st St Apt E,                  ",New York,NY,10011
1736,"7,800 ",3,2,"2,148",No,"236 E 36th St Unit 11AB,                  ",New York,NY,10016
1738,"2,500 ",0,1,476,No,"215 E 24th St Unit 5R,                  ",New York,NY,10010
1741,"2,425 ",0,1,550,No,"240 E 35th St Apt 9J,                  ",New York,NY,10016
1743,"3,995 ",3,1,"1,000",No,"159 E 92nd St Apt 21,                  ",New York,NY,10128
1744,"5,495 ",3,2,"1,000",No,"226 E 70th St Apt 4C,                  ",New York,NY,10021
1745,"3,250 ",1,1,802,No,"336 E 86th St Apt 5H,                  ",New York,NY,10028
1746,"2,500 ",1,1,504,No,"86 Christopher St Unit 2F,                  ",New York,NY,10013
1747,"3,400 ",1,1,682,No,"157 Lexington Ave Apt 3F,                  ",New York,NY,10016
1752,"2,600 ",1,1,685,No,"606 Ninth Ave Unit 3A,                  ",New York,NY,10019
1753,"2,675 ",1,1,582,No,"191 E 76th St Unit 0,                  ",New York,NY,10021
1756,"4,995 ",2,1,940,No,"173 W 78th St Apt 7A,                  ",New York,NY,10024
1757,"9,395 ",1,2,"1,400",Yes,"666 Greenwich St Ph 4,                  ",New York,NY,10014
1758,"2,600 ",1,1,601,No,"315 W 55th St Apt 2A,                  ",New York,NY,10019
1760,"4,470 ",3,2,850,No,"343 E 8th St Unit 3C,                  ",New York,NY,10009
1761,"2,750 ",1,1,571,Yes,"200 W 18th St Apt 4C,                  ",New York,NY,10011
1762,"4,300 ",2,1,950,No,"27 Morton St Unit 4,                  ",New York,NY,10014
1763,"4,300 ",2,1,950,No,"27 Morton St Unit 4,                  ",New York,NY,10014
1766,"2,600 ",0,1,505,No,"55 Perry St Unit 3SLK,                  ",New York,NY,10014
1767,"2,250 ",1,1,508,No,"527 W 48th St Unit 5,                  ",New York,NY,10036
1769,"3,895 ",2,1,"1,000",No,"440 E 78th St Apt 6B,                  ",New York,NY,10075
1773,"3,500 ",2,2,"1,004",No,"240 E 78th St Unit 2C,                  ",New York,NY,10075
1774,"2,950 ",2,1,850,No,"160 E 82nd St Unit 4B,                  ",New York,NY,10028
1775,"5,400 ",2,2,900,No,"520 E 76th St Unit 13D,                  ",New York,NY,10021
1776,"2,125 ",1,1,448,No,"457 W 50th St Unit 2FW,                  ",New York,NY,10019
1779,"3,075 ",1,1,750,Yes,"26 E 91st St Apt 6B,                  ",New York,NY,10128
1780,"8,095 ",2,2,"1,300",Yes,"200 W 15th St Unit C17,                  ",New York,NY,10011
1781,"2,550 ",0,1,558,No,"577 Second Ave Unit 28,                  ",New York,NY,10016
1782,"3,975 ",1,1,630,No,"145 4th Ave Apt 9D,                  ",New York,NY,10003
1784,"4,475 ",1,1,863,Yes,"301 E 48th St Apt 15J,                  ",New York,NY,10017
1785,"2,350 ",0,1,475,Yes,"557 Hart St Apt 3D,                  ",Brooklyn,NY,11221
1786,"5,000 ",2,1,"1,020",Yes,"360 Furman St Apt 438,                  ",Brooklyn,NY,11201
1791,750 ,1,1,"2,456",Yes,"351 St Nicholas Ave,                  ",New York,NY,10027
1792,"27,500 ",4,3,"3,532",No,"155 Franklin St Unit 4,                  ",Manhattan,NY,10013
1793,"3,500 ",0,1,397,Yes,"340 E 52nd St Apt 8G,                  ",New York,NY,10022
1795,"4,195 ",1,1,771,No,"1438 3rd Ave Apt 17A,                  ",Manhattan,NY,10028
1796,"4,495 ",1,1,839,Yes,"37 Bridge St Apt 6D,                  ",Brooklyn,NY,11201
1805,"6,800 ",1,1,"1,350",Yes,"117 W 17th St Apt 5D,                  ",New York,NY,10011
1812,"8,000 ",6,1,"1,200",No,"161 Madison Ave Rm 2W,                  ",Manhattan,NY,10016
1814,"18,500 ",2,1,"1,400",No,"134 Charles St Unit Ph,                  ",Manhattan,NY,10014
1816,"12,250 ",3,3,"1,800",Yes,"105 Duane St Unit 48BC,                  ",New York,NY,10007
1817,"2,589 ",1,1,800,Yes,"317 E 89th St Apt 1E,                  ",New York,NY,10128
1818,"5,750 ",1,2,860,No,"400 Chambers St Apt 8L,                  ",New York,NY,10282
1819,"7,225 ",2,2,"1,100",No,"9 W 31st St Apt 31B,                  ",New York,NY,10001
1820,"6,975 ",2,2,947,Yes,"160 W 24th St Apt 8N,                  ",New York,NY,10011
1821,"9,774 ",2,2,"1,147",Yes,"261 Hudson St Apt 7B,                  ",New York,NY,10013
1822,"1,675 ",1,1,700,Yes,"8501 Fort Hamilton Pkwy Unit 4,                  ",Brooklyn,NY,11209
1824,"3,995 ",1,1,768,Yes,"41 W 72nd St Apt 17H,                  ",New York,NY,10023
1825,"7,595 ",2,2,"1,106",No,"9 W 31st St Ph 2E,                  ",New York,NY,10001
1826,"7,800 ",2,2,"1,000",Yes,"400 E 84th St Apt 8E,                  ",New York,NY,10028
1827,"7,518 ",2,1,967,Yes,"160 W 24th St Apt 7E,                  ",New York,NY,10011
1828,"9,220 ",2,2,"1,500",Yes,"450 W 42nd St Apt 45M,                  ",New York,NY,10036
1832,"3,345 ",1,1,800,No,"353 E 83rd St Unit B4,                  ",Manhattan,NY,10028
1837,"3,485 ",1,1,800,No,"353 E 83rd St Unit 17BB,                  ",Manhattan,NY,10028
